url|station|year|error
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464045&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464045|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463927&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463927|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463927&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463927|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463846&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463846|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463672&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463672|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463630&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463630|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463215&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463215|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00463100&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00463100|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00462735&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00462735|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00462709&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00462709|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00462695&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00462695|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00462650&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00462650|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00462590&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00462590|2020|
